Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number,Cord Usage Count
7/22/2024,B,269.0,28.0,0,AF,0.0,62904842,3
7/23/2024,B,280.0,26.0,1,AF,3.0,62904842,5
7/24/2024,F,271.0,30.0,1,AF,2.0,62904842,7
7/27/2024,,252.0,29.0,1,AF,1.0,62904842,11
7/27/2024,,268.0,26.0,1,AF,2.0,62904842,13
7/29/2024,,256.0,29.0,0,AF,1.0,62904842,16
8/4/2024,F,283.0,25.0,0,AF,3.0,62904842,18
8/4/2024,,283.0,22.0,0,AF,0.0,62904842,20
8/10/2024,F,280.0,27.0,0,AF,1.0,62904842,21
8/11/2024,B,308.0,15.0,2,AF,2.0,62904842,26
8/19/2024,F,294.0,21.0,2,AF,2.0,62904842,27
8/20/2024,B,288.0,22.0,0,AF,0.0,62904842,29
8/28/2024,F,280.0,27.0,1,AF,0.0,62904842,32
9/1/2024,B,286.0,24.0,0,AF,0.0,62904842,35
9/7/2024,F,276.0,29.0,0,AF,2.0,62904842,37
9/28/2024,,292.0,24.0,2,AF,2.0,62904842,39
10/19/2024,B,277.0,23.0,0,AF,1.0,62904842,58
5/2/2025,F,290.0,26.0,0,AF,2.0,62904842,63
6/7/2025,B,267.0,27.0,1,AF,0.0,62904842,75
10/26/2025,F,169.0,12.0,2,AF,0.0,62904842,80
10/26/2025,,153.0,14.0,2,AF,0.0,62904842,81
10/26/2025,,115.0,30.0,3,AF,0.0,62904842,83
10/26/2025,,155.0,5.0,0,AF,0.0,62904842,88
10/27/2025,F,169.0,12.0,1,AF,0.0,62904842,90
10/27/2025,,146.0,17.0,0,AF,0.0,62904842,92
11/1/2025,F,166.0,15.0,3,AF,3.0,62904842,102
